b_impact_score,certified_since,description,location,name,rating1,rating2,rating3,rating4,rating5,rating6,rating7,sector,tagline,url,website
82.9,"April, 2020","Nice and Serious makes creative work the world needs. They're a creative agency crafting award-winning brands, campaigns and content for purpose-driven businesses like innocent, Ben & Jerry’s, IKEA, Unilever and Co-op. 
They believe the creative industry has a remarkable power to create change. But let's be real – right now, it's not doing us any favours. It creates false needs and fake desires. The world doesn’t need more of the same. It needs us to draw a line in the sand, and back the people and businesses fixing things. It needs us to change minds, and make people demand better. As a creative agency with real purpose, they do just that. So the world can get what it really needs.
If you want to find out how creativity can help your business have a serious impact, they want to hear from you.","London, London, United Kingdom",Nice and Serious,Governance 15.5;Mission & Engagement 1.0;Ethics & Transparency 4.5;+ Mission Locked 10.0;,"Workers 33.4;Financial Security 9.1;Health, Wellness, & Safety 7.1;Career Development 6.1;Engagement & Satisfaction 7.1;N/A Points 3.7;","Community 16.9;Diversity, Equity, & Inclusion 5.3;Economic Impact 5.1;Civic Engagement & Giving 1.4;Supply Chain Management 3.9;N/A Points 0.9;",Environment 7.7;Environmental Management 0.7;Air & Climate 2.7;Water 0.0;Land & Life 3.0;N/A Points 1.1;,Customers 9.2;Customer Stewardship 1.5;+ Support for Underserved/Purpose Driven Enterprises 7.7;+ Serving in Need Populations N/A;,,,Service with Minor Environmental Footprint,Advertising; Design & Branding; Marketing & Comms; Video Production; Web Design,https://bcorporation.net/directory/nice-and-serious,http://niceandserious.com
91.7,"April, 2020","A brand of sustainable fashion accessories, all products are handmade by women deprived of liberty and in vulnerable situations and are used as raw materials for textile discards from the textile industry.
Marca de accesorios de moda sustentable, todos los productos son hechos a mano por mujeres privadas de libertad y en situación de vulnerabilidad y se utiliza como materia prima descartes de tela de la industria textil.","Recoleta, Santiago, Chile",Minka,Governance 14.3;Mission & Engagement 3.7;Corporate Accountability 0.0;Transparency 3.0;+ Mission Locked 7.5;,"Community 48.3;Diversity & Inclusion 12.8;Civic Engagement & Giving 3.6;Local Involvement 14.0;Suppliers, Distributors & Product 6.9;+ Supply Chain Poverty Alleviation 10.9;","Environment 18.9;Land, Office, Plant 1.9;Inputs 1.7;Outputs 1.7;Transportation, Distribution & Suppliers 0.4;+ Resource Conservation 11.4;N/A Points 1.5;",Customers 10.0;+ Education 6.6;+ Serving in Need Populations 3.4;,,,,Wholesale/Retail,"Cloth necklaces, bracelets, earrings, headbands, face masks",https://bcorporation.net/directory/minka,http://www.causaminka.cl
100.0,"April, 2020","Yoyo creates innovative and impactful digital experiences. A group of thinkers, doers, designers and technical experts that work with interesting start-ups and global giants, across a variety of different sectors. They use their brains, curiosity, expertise and some clever technology to create standout experiences for their clients and their customers. 
Through workshops and creative inspiration, Yoyo also work with clients to help unlock innovation within teams.","Tunbridge Wells, Kent, United Kingdom",Yoyo Design,Governance 18.4;Mission & Engagement 2.3;Ethics & Transparency 6.1;+ Mission Locked 10.0;,"Workers 37.7;Financial Security 10.4;Health, Wellness, & Safety 9.0;Career Development 7.1;Engagement & Satisfaction 8.2;N/A Points 2.9;","Community 21.6;Diversity, Equity, & Inclusion 7.1;Economic Impact 7.0;Civic Engagement & Giving 4.1;Supply Chain Management 1.0;N/A Points 2.3;",Environment 9.6;Environmental Management 3.5;Air & Climate 2.9;Water 0.3;Land & Life 2.7;,Customers 12.5;Customer Stewardship 4.7;+ Support for Underserved/Purpose Driven Enterprises 7.7;,,,Service with Minor Environmental Footprint,"Digital strategy, websites, apps, audience engagement campaigns, branding",https://bcorporation.net/directory/yoyo-design,http://www.yoyodesign.com
92.5,"April, 2020","Lo Scatolificio Giampietri dal 1954 è specializzato nella produzione di imballaggi di ogni dimensioni per spedizioni, archivi e prodotti fustellati per soddisfare clienti in svariati settori (cosmetico, farmaceutico, meccanico, alimentare, e dell’abbigliamento).

Alla base delle scelte aziendali ci sono sempre stati valori come l’integrità, il rispetto per i nostri collaboratori e l'attenzione rivolta alla sostenibilità sia ambientale che sociale oltre che l'attenzione alla qualità e alla cura del prodotto. 
Since 1954 Scatolificio Giampietri has focused on the production of all sizes of packaging for shipment, archives and punched products to satisfy fully customers in various sectors including the cosmetic, pharmaceutical, mechanical, food and clothing ones. At the basis of the companies' choices there have always been values such as integrity, respect for our collaborators and the attention brought to both environmental and social sustainability as well as the focus in quality and product care.","Collecchio (PR), parma, Italy",Scatolificio Giampietri srl,Governance 8.8;Mission & Engagement 3.3;Ethics & Transparency 3.0;+ Mission Locked 2.5;,"Workers 25.1;Financial Security 1.2;Health, Wellness, & Safety 9.5;Career Development 3.4;Engagement & Satisfaction 5.9;N/A Points 5.0;","Community 23.2;Diversity, Equity, & Inclusion 4.2;Economic Impact 5.6;Civic Engagement & Giving 2.3;Supply Chain Management 10.9;",Environment 31.4;Environmental Management 3.8;Air & Climate 3.3;Water 3.0;Land & Life 8.0;+ Resource Conservation 13.1;,Customers 3.7;Customer Stewardship 3.7;,,,Manufacturing,Packaging in cartone,https://bcorporation.net/directory/scatolificio-giampietri-srl,http://www.scatolificiogiampietri.it
83.8,"April, 2020","Ecosurety is the market leading producer responsibility compliance scheme investing in quality recycling. With more than 1,000 customers in various sectors of activity, Ecosurety supports efficient and transparent investment in UK recycling projects through improved infrastructure, innovation and consumer awareness campaigns. 
Alongside its commitment to reduce the environmental impact of UK businesses and to drive a tangible increase in UK recycling, Ecosurety helps producers organise quality evidence to ensure they comply with packaging, e-waste and batteries regulations.","Bristol, Bristol, United Kingdom",Ecosurety,Governance 23.3;Mission & Engagement 5.5;Ethics & Transparency 7.8;+ Mission Locked 10.0;,"Workers 31.5;Financial Security 10.4;Health, Wellness, & Safety 9.4;Career Development 4.6;Engagement & Satisfaction 5.4;N/A Points 1.5;","Community 16.0;Diversity, Equity, & Inclusion 5.4;Economic Impact 5.1;Civic Engagement & Giving 2.7;Supply Chain Management 1.9;N/A Points 0.7;",Environment 8.7;Environmental Management 2.3;Air & Climate 2.1;Water 0.2;Land & Life 2.7;N/A Points 1.2;,Customers 4.1;Customer Stewardship 3.3;+ Impact Improvement 0.8;,,,Service with Minor Environmental Footprint,"Packaging, WEEE and batteries producer responsibility compliance",https://bcorporation.net/directory/ecosurety,http://www.ecosurety.com
84.8,"March, 2020","Greenspot is a company that was born in 2017 observing a growing need in the region to provide solutions to industrial and residential plastic waste. Since then, to date, the operation has been dedicated to recycling plastic waste to help generate a Triple Local Impact Circular Economy.
The company's solutions are focused on 100% plastic and feather (EPS), recycling and valuing this material to generate new products with high-quality raw materials from industrial and household waste from Patagonia.
They revalue pelletized plastic in disuse, processing EPS through careful processes, as well as for some time they have manufactured final products with 100% recycled material. Their entire business model seeks to optimize resources, taking care of energy use and minimizing their water footprint, carrying out all their productive activities with rainwater harvesting.","Puerto Montt, LOS LAGOS, Chile",GREEN SPOT SPA,Governance 11.2;Mission & Engagement 0.3;Ethics & Transparency 0.8;+ Mission Locked 10.0;,"Workers 17.7;Financial Security 5.3;Health, Wellness, & Safety 4.5;Career Development 0.9;Engagement & Satisfaction 3.5;N/A Points 3.4;","Community 13.1;Diversity, Equity, & Inclusion 1.0;Economic Impact 7.6;Civic Engagement & Giving 0.4;Supply Chain Management 1.3;N/A Points 2.7;",Environment 42.7;Environmental Management 0.5;Air & Climate 4.4;Water 3.6;Land & Life 6.7;+ Resource Conservation 25.8;N/A Points 1.3;,,,,Manufacturing,100% recycled raw materials and plastic products,https://bcorporation.net/directory/green-spot-spa,http://greenspot.cl/
89.5,"March, 2020","Bird make beautiful, design-led eyewear using high quality and sustainable materials, and for every pair sold they distribute solar light to remote communities in Africa through their Share Your Sun partnership with SolarAid. 
Bird's premium frames use materials including FSC certified wood, bio-based acetate and repurposed aerospace aluminium. Founded by three brothers from Devon, UK, Bird is helping to drive change in the eyewear industry by designing beautiful frames that both look great and do good.  In 2019, Bird won Frame of the Year with their Blackcap frame, beating huge international competition, and they've been nominated for Frame of the Year again in 2020.
Bird's unique designs are beautiful in their own right, and combined with their Share Your Sun commitment they become a compelling symbol of the power of solar energy to make a difference. 
With each pair of Bird sunglasses purchased, a family in Africa benefits from a solar lamp. These solar lamps replace the standard kerosene lamps that are in most households. By eliminating dirty kerosene lamps, families benefit from better health, leading to better mental wellbeing, fewer hours of work and school missed and enabling people to be more productive, as well as saving CO2.
That's the power of #shareyoursun","Exeter, Devon, United Kingdom",Bird,Governance 15.7;Mission & Engagement 6.0;Ethics & Transparency 7.2;+ Mission Locked 2.5;,"Community 57.8;Diversity, Equity, & Inclusion 0.0;Economic Impact 4.6;Civic Engagement & Giving 10.8;Supply Chain Management 5.7;+ Designed to Give 32.9;N/A Points 3.7;",Environment 11.0;Environmental Management 1.7;Air & Climate 0.0;Water 0.0;Land & Life 3.6;+ Land/wildlife Conservation 5.6;,Customers 4.7;Customer Stewardship 3.0;+ Health & Wellness Improvement 1.7;,,,,Wholesale/Retail,Award-winning sustainable eyewear with a social purpose.,https://bcorporation.net/directory/bird,http://www.birdsunglasses.com
94.0,"April, 2020","Their mission is to inspire, empower, equip and support women to lead the change the world needs. They do this primarily through their year-long women's leadership development intensive program, and also through broader, inclusive events that focus on women's leadership.","Huntsville, Ontario, Canada",The Women's Leadership Intensive,Governance 8.1;Mission & Engagement 2.2;Ethics & Transparency 3.3;+ Mission Locked 2.5;,"Community 40.7;Diversity, Equity, & Inclusion 16.8;Economic Impact 11.6;Civic Engagement & Giving 7.7;N/A Points 4.4;",Environment 9.2;Environmental Management 2.8;Air & Climate 1.5;Water 0.0;Land & Life 1.2;N/A Points 3.7;,Customers 35.9;Customer Stewardship 3.6;+ Education 24.1;+ Serving Underserved Populations (Direct) 8.1;,,,,Service with Minor Environmental Footprint,"Year-long leadership development intesive, coaching, events for women leaders",https://bcorporation.net/directory/the-womens-leadership-intensive,http://www.womensleadershipintensive.ca/
81.7,"March, 2020","Harper + Scott is a cutting-edge design studio and merchandise agency in New York

City. They specialize in private label consumer/retail products, promotional products and

premiums, gifts-with-purchase, packaging, employee gifts and rewards and more!

They work with their clients to understand their position/voice and help create an emotional

connection between their clients and their customers through branded products. 
Since the onset of the COVID-19 pandemic, their company has been working around the clock to produce safety items that can help prevent the spread of infectious disease. Hand-in-hand with their domestic and overseas partner facilities they’ve refocused production and distribution channels towards supplying these essentials to their clients.","New York, New York, United States",Harper + Scott,Governance 16.7;Mission & Engagement 2.2;Ethics & Transparency 4.4;+ Mission Locked 10.0;,"Workers 26.3;Financial Security 7.7;Health, Wellness, & Safety 6.5;Career Development 4.3;Engagement & Satisfaction 6.8;N/A Points 0.8;","Community 19.3;Diversity, Equity, & Inclusion 4.1;Economic Impact 4.1;Civic Engagement & Giving 3.7;Supply Chain Management 4.4;N/A Points 2.9;",Environment 14.9;Environmental Management 6.9;Air & Climate 1.1;Water 1.0;Land & Life 5.7;+ Toxin Reduction / Remediation N/A;,Customers 4.3;Customer Stewardship 4.3;,,,Wholesale/Retail,"Private Label Retail, Promotional + Branded Merchandise, PPE + Hand Sanitizer",https://bcorporation.net/directory/harper-scott,http://www.harperandscott.com
83.3,"March, 2020","Caisse d'Epargne Normandie has more than 210 branches, 4 business centers, 1,799 employees, 1.1 million customers, including 205,000 members. The only bank exclusively covering the whole of Normandy, it supports all clienteles: individuals, professionals, companies, startups, social economy players, Real Estate, Social Housing, protected persons, institutions and local communities. A major player in the economic development of its territory, the Caisse d'Epargne Normandie manages total assets of 35 billion euros. With its cooperative status, it is a full-service Norman bank: the funds it collects locally are reinvested in the region to finance the major projects and companies that make up Normandy. A philanthropic enterprise, Caisse d'Epargne Normandie is a bank engaged in financial education and solidarity-based sponsorship, in particular through the Caisse d'Epargne Normandie Fund for the solidarity initiative. She is also involved in personal microcredit (more than one in three microcredit in Normandy). With more than 7 million euros in donations in 10 years, it is the leading Norman patron of the social and solidarity economy and the voluntary sector.","BOIS GUILLAUME, Normandie, France",caisse d'épargne Normandie,Governance 12.0;,Workers 31.5;,Community 18.3;,Environment 5.8;,Customers 15.4;,2019 Overall B Impact Score 89.0;,,Service with Minor Environmental Footprint,"Savings, Credits, Means of payment, Insurance, Patrimony, Real estate",https://bcorporation.net/directory/caisse-dpargne-normandie,http://www.caisse-epargne.fr/normandie/professionnels
87.3,"March, 2020","The company has a solid family wine tradition that was born in 1908 and reaches the fourth generation today. Cielo e Terra produces and bottles wine and sells mainly to the large organized distribution and Horeca channels, in Italy and all over the world. Cantine dei Colli Berici of Lonigo, Barbarano Vicentino and San Bonifacio joined the company in 1999, allowing better enhancement of the products of the short chain, bringing production closer to the markets. Today Cielo e Terra is a leading company in the production and marketing of wine in compliance with the principles of ethics and integrated sustainability.
L'azienda ha una solida tradizione vitivinicola familiare che nasce nel 1908 ed arriva, oggi, alla quarta generazione. Cielo e Terra produce ed imbottiglia vino e vende principalmente alla grande distribuzione organizzata ed i canali Horeca, in Italia ed in tutto il mondo. Cantine dei Colli Berici di Lonigo, Barbarano Vicentino e San Bonifacio è entrata nella compagine sociale nel 1999, permettendo di meglio valorizzare i prodotti della filiera corta, avvicinando di più la produzione ai mercati. Oggi Cielo e Terra è un'azienda leader nella produzione e commercializzazione del vino nel rispetto dei principi di etici e di sostenibilità integrata.","Montorso Vicentino, vicenza, Italy",CIELO E TERRA,Governance 7.9;Mission & Engagement 1.4;Ethics & Transparency 4.0;+ Mission Locked 2.5;,"Workers 22.2;Financial Security 3.8;Health, Wellness, & Safety 7.2;Career Development 2.8;Engagement & Satisfaction 4.1;N/A Points 4.1;","Community 13.6;Diversity, Equity, & Inclusion 1.6;Economic Impact 4.5;Civic Engagement & Giving 1.8;Supply Chain Management 5.5;",Environment 39.9;Environmental Management 4.4;Air & Climate 4.2;Water 2.0;Land & Life 7.5;+ Environmentally Innovative Manufacturing Process 20.4;+ Toxin Reduction / Remediation 1.3;,Customers 3.5;Customer Stewardship 3.5;,,,Manufacturing,Wine processing and bottling,https://bcorporation.net/directory/cielo-e-terra,http://www.cieloeterravini.com
106.3,"March, 2020","MVP Dairy, LLC is a partnership between two, fourth-generation farm families, the McCarty Family of Kansas and the VanTilburg Family of Ohio.  Together, MVP Dairy is a multi-family dairy farm striving to farm for a better world.  As the first Certified B Corp dairy farm, MVP is leading the way in sustainable and regenerative farming practices while operating humanely and transparently. The dairy features the best in dairy innovation and is home to the Dairy Learning Center, a non-profit organization that is open to the public to share a behind the scenes look at how milk is produced.

All milk from MVP Dairy is Non-GMO project verified and is a milk supplier for Danone North America’s non-gmo product lines.

MVP’s overall mission is to create wholesome products in a sustainable manner. Using best management practices, they work to achieve the utmost in animal welfare, environmental stewardship, sustainable communities and the creation of a safe, rewarding work environment.","Celina, Ohio, United States","MVP Dairy, LLC",Governance 16.5;Mission & Engagement 2.5;Ethics & Transparency 3.9;+ Mission Locked 10.0;,"Workers 14.2;Financial Security 5.9;Health, Wellness, & Safety 2.3;Career Development 2.0;Engagement & Satisfaction 2.4;N/A Points 1.4;","Community 13.6;Diversity, Equity, & Inclusion 1.6;Economic Impact 3.5;Civic Engagement & Giving 3.4;Supply Chain Management 3.2;N/A Points 1.8;",Environment 59.1;Environmental Management 3.0;Air & Climate 1.7;Water 3.9;Land & Life 9.3;+ Environmentally Innovative Agricultural Process 26.1;+ Toxin Reduction / Remediation 6.9;N/A Points 7.9;,Customers 2.6;Customer Stewardship 2.1;N/A Points 0.5;,,,Agriculture/Growers,"milk producer, dairy farmer",https://bcorporation.net/directory/mvp-dairy-llc,http://mvpdairyllc.com
